Street #,Street,Street Type,Quad,Ward,SSL1,SSL2,SSLFULL,GGStatus
1124,9TH ,ST ,NW ,2,369,36,0369    0036,5
1128,9TH ,ST ,NW ,2,369,64,0369    0064,5
1033,CECIL ,PL ,NW ,2,1188,107,1188    0107,5
3211,CHERRY HILL ,LN ,NW ,2,1188,101,1188    0101,5
3221,CHERRY HILL ,LN ,NW ,2,1188,106,1188    0106,5
1327,CORCORAN ,ST ,NW ,2,240,19,0240    0019,5
3019,DENT ,PL ,NW ,2,1282,167,1282    0167,5
2150,FLORIDA ,AVE ,NW ,2,66,805,0066    0805,5
2505,I ,ST ,NW ,2,16,56,0016    0056,5
2507,I ,ST ,NW ,2,16,57,0016    0057,5
1000,M ,ST ,NW ,2,341,57,0341    0057,5
2910,M ,ST ,NW ,2,1196,194,1196    0194,5
3060,M ,ST ,NW ,2,1198,808,1198    0808,5
2134,PENNSYLVANIA ,AVE ,NW ,2,75,23,0075    0023,5
2136,PENNSYLVANIA ,AVE ,NW ,2,75,34,0075    0034,5
1109,Q ,ST ,NW ,2,309,50,0309    0050,5
1427,Q ,ST ,NW ,2,208,9,0208    0009,5
2002,R ,ST ,NW ,2,93,121,0093    0121,5
1610,RIGGS ,PL ,NW ,2,178,30,0178    0030,5
1065,THOMAS JEFFERSON ,ST ,NW ,2,1197,833,1197    0833,5
1422,WISCONSIN ,AVE ,NW ,2,1244,868,1244    0868,5
2903,ARIZONA ,AVE ,NW ,3,1426,885,1426    0885,5
3760,BENTON ,ST ,NW ,3,1301,674,1301    0674,5
3764,BENTON ,ST ,NW ,3,1301,672,1301    0672,5
5710,BROAD BRANCH ,RD ,NW ,3,1997,25,1997    0025,5
2816,CATHEDRAL ,AVE ,NW ,3,2111,73,2111    0073,5
4621,CLARK ,PL ,NW ,3,1358,62,1358    0062,5
3412,CONNECTICUT ,AVE ,NW ,3,2069,818,2069    0818,5
4111,CONNECTICUT ,AVE ,NW ,3,2243,51,2243    0051,5
4770,DEXTER ,ST ,NW ,3,1397,1036,1397    1036,5
3060,ELLICOTT ,ST ,NW ,3,2267,3,2267    0003,5
4407,GREENWICH ,PKWY ,NW ,3,1350,115,1350    0115,5
5135,KLINGLE ,ST ,NW ,3,1435,88,1435    0088,5
3401,LOWELL ,ST ,NW ,3,2089,828,2089    0828,5
4433,P ,ST ,NW ,3,1353,830,1353    0830,5
4741,RESERVOIR ,RD ,NW ,3,1372,11,1372    0011,5
4517,RIVER ,RD ,NW ,3,1574,16,1574    0016,5
3615,UPTON ,ST ,NW ,3,1897,827,1897    0827,5
3718,13TH ,ST ,NW ,4,2826,84,2826    0084,5
3927,14TH ,ST ,NW ,4,2824,48,2824    0048,5
4602,14TH ,ST ,NW ,4,2704,17,2704    0017,5
6408,16TH ,ST ,NW ,4,2744,825,2744    0825,5
7509,16TH ,ST ,NW ,4,2738,11,2738    0011,5
6602,1ST ,ST ,NW ,4,3365,46,3365    0046,5
6615,2ND ,ST ,NW ,4,3365,48,3365    0048,5
4305,3RD ,ST ,NW ,4,3318,67,3318    0067,5
4317,3RD ,ST ,NW ,4,3318,73,3318    0073,5
4920,3RD ,ST ,NW ,4,3303,78,3303    0078,5
4520,4TH ,ST ,NW ,4,3248,67,3248    0067,5
4627,4TH ,ST ,NW ,4,3306,44,3306    0044,5
4703,4TH ,ST ,NW ,4,3305,19,3305    0019,5
5423,4TH ,ST ,NW ,4,3296,22,3296    0022,5
5521,4TH ,ST ,NE ,4,3759,28,3759    0028,5
5813,4TH ,ST ,NW ,4,3291,29,3291    0029,5
6019,4TH ,ST ,NW ,4,3289,72,3289    0072,5
4425,5TH ,ST ,NW ,4,3247,23,3247    0023,5
4720,5TH ,ST ,NW ,4,3217,91,3217    0091,5
5110,5TH ,ST ,NW ,4,3211,154,3211    0154,5
5302,5TH ,ST ,NW ,4,3209,87,3209    0087,5
6109,5TH ,ST ,NW ,4,3267,62,3267    0062,5
6411,6TH ,ST ,NW ,4,3197,48,3197    0048,5
6916,6TH ,ST ,NW ,4,3172,822,3172    0822,5
6919,6TH ,ST ,NW ,4,3191,19,3191    0019,5
4922,7TH ,ST ,NW ,4,3147,94,3147    0094,5
5007,7TH ,ST ,NW ,4,3212,84,3212    0084,5
5124,7TH ,ST ,NW ,4,3149,110,3149    0110,5
6319,7TH ,ST ,NW ,4,3198,83,3198    0083,5
3812,8TH ,ST ,NW ,4,3028,35,3028    0035,5
4117,8TH ,ST ,NW ,4,3135,803,3135    0803,5
5315,8TH ,ST ,NW ,4,3151,31,3151    0031,5
4526,9TH ,ST ,NW ,4,3016,21,3016    0021,5
6223,9TH ,ST ,NW ,4,2980,804,2980    0804,5
7539,9TH ,ST ,NW ,4,2961,24,2961    0024,5
6427,BARNABY ,ST ,NW ,4,2350,81,2350    0081,5
4340,BLAGDEN ,AVE ,NW ,4,2659,38,2659    0038,5
4822,BLAGDEN ,AVE ,NW ,4,2655,34,2655    0034,5
7408,BLAIR ,RD ,NW ,4,3178E ,817,3178E   0817,5
1310,BUCHANAN ,ST ,NW ,4,2817,77,2817    0077,5
7130,CHESTNUT ,ST ,NW ,4,3184,812,3184    0812,5
5735,COLORADO ,AVE ,NW ,4,2797,64,2797    0064,5
5835,COLORADO ,AVE ,NW ,4,2937,832,2937    0832,5
